,ID,sentiment,date_time,text
20,20,Contented,08/11/2016 15:41:21,election2016 TRUMP offers us all a contract. HilaryClinton only promises that will be broken just like obama just look at healthcare
21,21,Serene,08/11/2016 15:41:18,For the last 3 weeks I've been working out of Nevada (Vegas) ; we've encountered violent ass Trump supporters. election2016
22,22,Elated,08/11/2016 15:41:30,I hope trump wins just to see and and the rest of the BiasedMedia implode on national television Election2016 TrumpPence16
23,23,Happy,08/11/2016 15:41:43,I'd bet money she's voting for Hillary ???Election2016 WhinyDems
24,24,Serene,08/11/2016 15:42:11,I hate trump but that's so obviously fake ?????????????????? 
25,25,Calm,08/11/2016 15:42:23,Tweet at us: How do you think the the stock market would react if Trump won?  election2016 
26,26,Bored,08/11/2016 15:42:14,I can not wait to wake up tomorrow morning to salty trump supporters Election2016
27,27,Happy,08/11/2016 15:42:16,Whether Trump or Clinton is the next president this is still the greatest country in the world.  Lets not forget that.  Election2016
28,28,Stressed,08/11/2016 15:42:22,If I would've lied and told my professor it was a Trump event
29,29,Calm,08/11/2016 15:42:42,Once drains the swamp we may find Vince Foster at the bottom. Election2016 Trump voted
30,30,Depressed,08/11/2016 15:42:37,Guys if Trump wins that could mean he could take over America like how Plankton did to Bikini Bottom in the SpongeBob Movie! Election2016
31,31,Calm,08/11/2016 15:42:44,Tweet at us: How do you think the the stock market would react if Trump won?  election2016 
32,32,Contented,08/11/2016 15:42:41,Who gets the final rose? Stay tuned America!! Clinton Trump Election2016
33,33,Calm,08/11/2016 15:42:33,Will it be 'The Trump Tower' or 'The Senator from New York' that gets your vote? cocktails await you at? 
34,34,Contented,08/11/2016 15:42:52,Colleague at work has just described Trump as a blonde wotsits . One of the best descriptions I have heard so far Election2016 Hillary
35,35,Contented,08/11/2016 15:43:14,Vote Trump save ur jobs
36,36,Contented,08/11/2016 15:43:19,"I like the sentiment """"might just..."""" A Trump highly critized may just be 'tempted' to be the good guy. Election2016 "
37,37,Elated,08/11/2016 15:43:33,Hillary for the win! Love this station! 
38,38,Happy,08/11/2016 15:43:26,THE RED STATES NEED OUR HELP. VOTE FOR HILLARY SO THEY ARE CURED. 
39,39,Calm,08/11/2016 15:43:18,The Trump Files: the many times Donald praised Hillary Clinton  via ClintonKaine2016 Election2016
40,40,Elated,08/11/2016 15:43:34,Hillary wins today. SafeBetelectiondayelection2016hillarydonaldthejoke
41,41,Calm,08/11/2016 15:43:38,election2016 Time to put up or shut up. vote2016 TRUMP if you want real Change . Donot elect a criminal president
42,42,Serene,08/11/2016 15:43:41,On my way to Trump Tower. Stayed tuned. election2016 cjsvote16 CUNAHJ
43,43,Calm,08/11/2016 15:43:50,Tweet at us: How do you think the the stock market would react if Trump won?  election2016 
44,44,Calm,08/11/2016 15:43:58,They named a road after Hillary  electionfinalthoughts Election2016
45,45,Elated,08/11/2016 15:44:27,This is an excellent brief Cliff's Notes version of the sexist bullshit Hillary Clinton has had to face--FROM OTHER? 
46,46,Relaxed,08/11/2016 15:44:58,"Trump or Hillary"""" is the big question today. I would personally prefer Frank Underwood.  Election2016 ElectionDay "
47,47,Calm,08/11/2016 15:45:23,Election2016 either trump wins or Clinton America are still pissed so goodluck to everyone voting we just wait and hear the results???????????????
48,48,Contented,08/11/2016 15:45:39,This Election2016 is by far the best reality show to come out of America in years. I wonder who writes the scripts for that Trump fella
49,49,Elated,08/11/2016 15:45:26,Scenes when Trump wins. Election2016
50,50,Elated,08/11/2016 15:45:43,USElection Election2016 >;>; Hillary Clinton's odds of winning the Presidential election shorten again  via @CityAM
51,51,Serene,08/11/2016 15:46:10,Hillary Clinton On Final Day Of The Campaign: It??s Time To ??Heal This Country???  Unreal? 
52,52,Elated,08/11/2016 15:46:12,Vegas Oddsmaker Predicts Brexit-Like Win for Donald Trump  tcot Election2016 
53,53,Elated,08/11/2016 15:45:58,Everyone vote in this poll Trump must win 
54,54,Calm,08/11/2016 15:46:18,Naked cowboy in front of Trump Tower in case anyone missed it... election2016 justkeepsgettingweirder 
55,55,Upset,08/11/2016 15:46:27,DNCLeak Election2016 SNOBS Rigged StrongerTogether Iamwithher Debate  Hillary got SCHOLONGED! 
56,56,Stressed,08/11/2016 15:46:17,When trump loses and your racist friends realize they've outed themselves for months for no reason on facebook? 
57,57,Calm,08/11/2016 15:46:44,The only time Hillary Clinton uses the Bible is when it's politically convenient. And look at Chelsea's necklace.? 
58,58,Happy,08/11/2016 15:46:43,Election2016 Hillary Clinton o Donald Trump? Le star non hanno dubbi >;>; 
59,59,Tense,08/11/2016 15:47:15,Worst part about early voting-no sticker ?? ivoted earlyvote earlyvoting electionday Election2016 trump clinton ivotedsticker
60,60,Happy,08/11/2016 15:47:11,Election2016 Hillary Clinton o Donald Trump? Le star non hanno dubbi >;>;  
61,61,Happy,08/11/2016 15:47:27,i AM FROM BRITISH COLUMBIA  CANADA AND I TOO WOULD VOTE FOR TRUMP IN A HEART BEAT - WISH HE LIVED IN CANADA  WOULD? 
62,62,Serene,08/11/2016 15:47:19,Hillary in the White House will be the biggest disaster since Obama in the White House. Election2016 MAGA ????
63,63,Contented,08/11/2016 15:47:20,A Kenyan bar brewed Clinton and Trump beers for Election2016.   Clinton's is floral
64,64,Happy,08/11/2016 15:47:18,Election2016???  2 friends who argued over Clinton ; Trump decides to test the popularity of their candidates in L? 
65,65,Happy,08/11/2016 15:47:23,Just saw someone on FB say that they had no idea what was going on in Election2016 but they were gonna vote Trump anyway...this is America.
66,66,Elated,08/11/2016 15:47:54,If voter turnout is high Hilliary wins. If its low Trump wins. vote election2016
67,67,Elated,08/11/2016 15:48:05,A majority of voters (55%) expect political divisions to increase if Trump wins election2016? 
68,68,Calm,08/11/2016 15:48:06,Who will be the next president of the United States ?? Hillary Clinton or Donald Trump? ElectionDay Election2016 MyVote2016
69,69,Nervous,08/11/2016 15:48:09,Trump campaign executive's pants literally caught on fire: report  Election2016
70,70,Happy,08/11/2016 15:48:18,Today we learn if British and Canadian comedians get 4 yrs of Trump or if they need to come up with original material Election2016
71,71,Contented,08/11/2016 15:49:27,A Kenyan bar brewed Clinton and Trump beers for Election2016.   Clinton's is floral
72,72,Elated,08/11/2016 15:49:38,LIVE BLOG: Top UK bookmaker says Trump odds to win are the same as Brexit's  FoxNews2016? 
73,73,Stressed,08/11/2016 15:49:46,TRUMPLANDSLIDE MAGA Election2016 racist greedy Hillary was for the Iraq war. Trump and Bernie were against it. 
74,74,Elated,08/11/2016 15:49:36,Topless FEMEN members tip up at polling station. Donald Trump reportedly charters plane to get there before they le? 
75,75,Elated,08/11/2016 15:49:45,I understand having a preference in which party wins but how can you honestly support Trump or Clinton and feel good about it? Election2016
76,76,Elated,08/11/2016 15:50:01,Will Trump or Clinton win Florida? Election2016  
77,77,Upset,08/11/2016 15:50:04,Trump is so disgusting man   Election2016
78,78,Tense,08/11/2016 15:50:06,Donald Trump and ISIS - the Perfect Storm? Election2016  
79,79,Contented,08/11/2016 15:50:28,Letter signed by 200 countries plead for America not to vote Hillary ElectionDay Election2016 myvote2016? 
80,80,Elated,08/11/2016 15:50:43,"Vladimir Putin """"If Hillary Clinton Wins"
81,81,Happy,08/11/2016 15:50:32,Girl Power . Go Hillary . VoteHillary  Election2016
82,82,Stressed,08/11/2016 15:50:45,do us all a favor and stop taking calls from Killary supporters. There is nothing wrong with BB writing Trump a letter Election2016
83,83,Elated,08/11/2016 15:50:45,*Whew* - Oddschecker says Hillary Clinton will win
84,84,Contented,08/11/2016 15:50:32,BBCAfrica: A Kenyan bar brewed Clinton and Trump beers for Election2016.   Clinton's is floral
85,85,Excited,08/11/2016 15:51:00,"??Get ready for war with Russia if Hillary Clinton wins""""-Jill Stein  VoteJilStein "
86,86,Elated,08/11/2016 15:50:48,ElectionDay Bernie says do not listen to him Do the right thing Vote for Trump Otherwise CrookedHillary will win? 
87,87,Contented,08/11/2016 15:51:12,A Kenyan bar brewed Clinton and Trump beers for Election2016.   Clinton's is floral
88,88,Depressed,08/11/2016 15:51:07,Our Trump course is among other Election2016 themed courses offered this fall at schools around the country. 
89,89,Serene,08/11/2016 15:51:13,tcot cdnpoli TOpoli Nice!  But I think it will be Trump 272-275.  Witch gets rest. 
90,90,Serene,08/11/2016 15:51:29,I hate Trump just as much as you hate Hillary
91,91,Upset,08/11/2016 15:51:22,My VITAL SoCal ballot issues: 1. TRUMP -YES 2. Ban on plastic bags -NO  WTF? 3. Cigar tax - HELL NO California MAGA3X  Election2016
92,92,Contented,08/11/2016 15:52:05,BBCAfrica: A Kenyan bar brewed Clinton and Trump beers for Election2016. Clinton's is floral
93,93,Contented,08/11/2016 15:52:00,BBCAfrica: A Kenyan bar brewed Clinton and Trump beers for Election2016. Clinton's is floral
94,94,Contented,08/11/2016 15:51:58,You have to wonder is going through the minds of people who vote Trump for president Have a word with yourself!Election2016
95,95,Calm,08/11/2016 15:52:14,Trump is a turd (being polite today) but what comes next after this trenchant observation? Both had two arms? Two l? 
96,96,Calm,08/11/2016 15:52:15,Exclusive reaction of anyone today moments after they've realize they actually voted for Trump Election2016 
97,97,Upset,08/11/2016 15:52:24,Trump because someone has to stand up for those girls who rode the Lolita Express.Tell HRC child prostitution is bad 
98,98,Serene,08/11/2016 15:52:38,Remember when Sanders was still a candidate and you felt safe that there was some sort of opposition to trump Election2016
99,99,Contented,08/11/2016 15:52:41,BBCAfrica: A Kenyan bar brewed Clinton and Trump beers for Election2016.   Clinton's is floral
100,100,Upset,08/11/2016 15:52:55,Election2016 Iamwithher SNOBS Rigged Debate DNCLeak  Hillary wants to stab America in the back ... AGAIN! 
101,101,Elated,08/11/2016 15:53:22,Will Trump or Clinton win Florida? Election2016  
102,102,Happy,08/11/2016 15:53:13,Hillary will give the CHOICE to abort OR keep. The mother will make the decision. 
103,103,Excited,08/11/2016 15:53:05,"NOT A JOKE: Russians LIVING IN RUSSIA can report """"vote fraud"""" directly to Trump HQ  ElectionDay Election2016"
104,104,Nervous,08/11/2016 15:53:56,My 'Dump Trump 2016' badge has fallen off my parka. I'm trying very hard not to look at this as a bad omen. Election2016
105,105,Excited,08/11/2016 15:53:40,Hillary supporters WearWhiteToVote honor those women who died fighting for the right to vote StrongerTogether? 
106,106,Serene,08/11/2016 15:53:53,Thoughts coming up to election2016 hillaryclinton trump electionanxiety democracy? 
107,107,Contented,08/11/2016 15:53:47,i enjoy fucking with twitter polls. especially when they are about the Election2016 in america.  i vote trump just to inflate the lies!
108,108,Contented,08/11/2016 15:53:56,Election2016 hope its Hillary trump as bent truth throughout
109,109,Elated,08/11/2016 15:54:08,Will Trump or Clinton win Florida? Election2016  
110,110,Upset,08/11/2016 15:54:15,Hillary is a compulsive liar and trump is a asshole pick ur poison. Election2016 VoteTrump
111,111,Stressed,08/11/2016 15:54:33,how anyone who is not a rich white straight ignorant sexist racist man is down for trump baffles me... Trexit Election2016
112,112,Serene,08/11/2016 15:54:50,FUCK being nice. If you vote for Trump
113,113,Elated,08/11/2016 15:54:50,Here you go  - HUGE odds of 16/1 on Trump to win Election2016 here >;>;>;  
114,114,Elated,08/11/2016 15:54:56,If Hillary wins
115,115,Elated,08/11/2016 15:54:53,If Trump wins tonight it will be Independents and blue-collar Democrats who put him there. Election2016
116,116,Serene,08/11/2016 15:54:54,White Privilege: America believing that Bill Cosby is a sexual predator but that Donald Trump is not. Election2016 IMWITHHER
117,117,Happy,08/11/2016 15:54:59,Just voted and I feel good. Election2016 ImWithHer Hillary
118,118,Calm,08/11/2016 15:55:06,Election2016 Recap:Science Policy: Trump questioned scientists on key issues Clinton pledged increases in suppor? 
119,119,Calm,08/11/2016 15:55:14,So you're not supposed to wear campaign material when voting. Then why are so many people in Trump hats and shirts voting? Election2016
120,120,Contented,08/11/2016 15:55:27,I do think it may be 2 or more of these recent Blue states which turn Red. Just depends on Trump turnout which shou? 
121,121,Depressed,08/11/2016 15:55:25,Election2016  Hispanic vote about to Kick down the Trump wall. florida
122,122,Elated,08/11/2016 15:55:47,Who's going to win? RT for Hillary
123,123,Upset,08/11/2016 15:56:01,Trump does NOT hate:  Blacks
124,124,Elated,08/11/2016 15:56:01,Election2016 betting: Last chance!  Get 4/1 on Clinton to win or 16/1 on Trump to win  Sign up here now --->;? 
125,125,Elated,08/11/2016 15:56:00,Election2016 betting: Last chance!  Get 4/1 on Clinton to win or 16/1 on Trump to win  Sign up here now --->;? 
126,126,Elated,08/11/2016 15:56:12,This'll be me to America if Trump wins this election Election2016 
127,127,Elated,08/11/2016 15:56:20,What half the US people will be doing every day if Trump wins. Election2016 
128,128,Elated,08/11/2016 15:56:13,8th November 2016 - Trump wins 9th November 2016......  Election2016 
129,129,Tense,08/11/2016 15:56:49,Trump called all Brazilians Latinos pigs. bad he knows the disgusting is himself     Election2016 EleicoesNosEUA
130,130,Depressed,08/11/2016 15:56:45,Rigged Election2016 DNCLeak Debate Iamwithher  Hillary supports fracking! Her greed is killing the planet! 
131,131,Elated,08/11/2016 15:56:57,Here you go  - better odds of 4/1 on Hillary to win Election2016 here >;>;>;  
132,132,Elated,08/11/2016 15:56:57,.If Hillary Wins; House Plans to ImpeachHillary Before She Takes Office  Election2016
133,133,Calm,08/11/2016 15:57:23,Even ppl who work Trump Towers is not voting for him Election2016
134,134,Happy,08/11/2016 15:57:29,So proud of my 16 year old too. He voted for Trump yesterday when his high school held a mock election. Trump won! 
135,135,Stressed,08/11/2016 15:57:22,Debate StrongerTogether SNOBS Election2016 Rigged Iamwithher DNCLeak  Hillary dodged sniper fire in Bosnia! 
136,136,Elated,08/11/2016 15:57:17,Hillary Clinton's chance of winning Election2016 rises to 71.4%
137,137,Serene,08/11/2016 15:57:24,Hollywood Celebrities' Trump Hate Forces Republican Colleagues to Go More Secretive Than Normal  Election2016
138,138,Lethargic,08/11/2016 15:57:52,Iamwithher DNCLeak Election2016 SNOBS StrongerTogether Debate Rigged  Hillary is a lizard person! 
139,139,Happy,08/11/2016 15:57:40,I missed my first elections but I really hope to see Hillary Clinton taking oath as the next President??? TeamHillary Election2016
140,140,Happy,08/11/2016 15:58:07,An Election2016 message of hope on what was originally the Trump wall on North Main St WestHartford weha? 
141,141,Elated,08/11/2016 15:57:54,Here's a list of celebrities who vow to leave the US if Donald Trump wins Election2016   
142,142,Happy,08/11/2016 15:57:55,I pray to god it's not trump but we voted for Brexit so really you can not be sure of anything in the world Election2016
143,143,Calm,08/11/2016 15:57:54,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times  Election2016 tcot VoterID wiunion
144,144,Elated,08/11/2016 15:58:15,Hillary Clinton's chance of winning Election2016 rises to 71.4%
145,145,Serene,08/11/2016 15:58:33,On my way to Trump Tower. Stay tuned Election2016  cjsvote16  CUNAHJ
146,146,Bored,08/11/2016 15:58:36,"Let's show that love TRUMPS hate."""" - Hillary Clinton Election2016 "
147,147,Happy,08/11/2016 15:58:28,My child saw hillary look alike at polling place. Made perfect sense to her. Love how kids interpret all this. election2016
148,148,Elated,08/11/2016 15:58:30,business: Hillary Clinton's chance of winning Election2016 rises to 71.4%
149,149,Bored,08/11/2016 15:58:52,RT brookewylie: Waiting for Trump and chatting to voters with steph_march for abcnews Election2016 DreamTeam el? 
150,150,Elated,08/11/2016 15:58:51,business: Hillary Clinton's chance of winning Election2016 rises to 71.4%
151,151,Happy,08/11/2016 15:58:43,Good luck today.. All behind you Election2016  TRUMP MakeAmericaGreatAgain
152,152,Happy,08/11/2016 15:59:02,Love these! My colleague wore Hillary and Trump socks!   election2016 
153,153,Elated,08/11/2016 15:59:24,My Election2016 ElectionDay predictions (cont): Hillary Clinton will win with >;300 Electoral Votes. Popular vote margin >;3M.
154,154,Happy,08/11/2016 15:59:44,Oh my god! YES!! electionday  Election2016 TRUMP TrumpPence16 
155,155,Happy,08/11/2016 15:59:37,TrumpLeaks: Donald Trump w Russian Dr. Mikhail Piotrovsky-Putin's BEST FRIEND   Election2016 ElectionDay  @CNN
156,156,Happy,08/11/2016 15:59:33,If you like Putin you'll love Trump 
157,157,Elated,08/11/2016 15:59:51,Retweeted Bloomberg (@business):  Hillary Clinton's chance of winning Election2016 rises to 71.4%
158,158,Elated,08/11/2016 15:59:58,Final Election2016 forecast has Hillary winning FL ; NC. ??Chance of winning Clinton 71.4% | Trump 28.6%?? 
159,159,Calm,08/11/2016 16:00:03,Donald Trump on crime and social justice:   Election2016 
160,160,Depressed,08/11/2016 16:00:19,Democratic insiders: Clinton's ground game will sink Trump  Election2016 ElectionDay
161,161,Elated,08/11/2016 16:00:42,Hillary Clinton's chance of winning Election2016 rises to 71.4%
162,162,Elated,08/11/2016 16:00:39,It's Election2016 so you can not not ignore the Trump FT Hilary 'Time Of My Life' Duet 
163,163,Serene,08/11/2016 16:00:41,Donot vote Trumpet! trump USADecides vote Election2016 celebstruments 
164,164,Elated,08/11/2016 16:00:30,business: Hillary Clinton's chance of winning Election2016 rises to 71.4%
165,165,Relaxed,08/11/2016 16:00:56,Election2016 WATCH LIVE | Trump votes in NY  
166,166,Elated,08/11/2016 16:00:56,Hopefully Hillary Clinton wins the Election2016 and becomes the 1st female President of America VoteHillaryClinton
167,167,Happy,08/11/2016 16:00:56,This is my safe ElectoralCollegeMap prediction for Hillary Win 323 - 215. Election2016 
168,168,Contented,08/11/2016 16:00:57,magaripoa: BBCAfrica: A Kenyan bar brewed Clinton and Trump beers for Election2016. Clinton's is floral
169,169,Elated,08/11/2016 16:00:55,Hillary will win!! 
170,170,Relaxed,08/11/2016 16:00:56,Election2016 WATCH LIVE | Trump votes in NY  
171,171,Contented,08/11/2016 16:00:56,magaripoa: BBCAfrica: A Kenyan bar brewed Clinton and Trump beers for Election2016.   Clinton's is floral
172,172,Upset,08/11/2016 16:01:00,DataVisualization shows every instance Trump lost a potential Republican vote  bigdata election2016 analytics
173,173,Contented,08/11/2016 16:01:08,StrongerTogether Debate Election2016 DNCLeak SNOBS Iamwithher Rigged  Hillary ainot no ways tired! 
174,174,Calm,08/11/2016 16:00:59,Is that meme true? All living United States presidents voting for Hillary Clinton? election2016
175,175,Elated,08/11/2016 16:01:08,Who do you think will win the Election2016? Make sure to go Vote! ElectionDay Hillary trump
176,176,Elated,08/11/2016 16:01:01,Trump win ??will knock trillions off share prices??  Election2016
177,177,Upset,08/11/2016 16:01:00,DataVisualization shows every instance Trump lost a potential Republican vote  bigdata election2016 analytics
178,178,Depressed,08/11/2016 16:01:24,I do not know what's worse Donald Trump as president or Melania trump As First Lady .What a joke . AmericaDecides ElectionDay Election2016
179,179,Contented,08/11/2016 16:01:30,Donald Trump arrives with wife Melanie at New York poll station
180,180,Tense,08/11/2016 16:01:30,We have movement! In the past few mins Hillary has moved from 1.27 (79% probability) to 1.21 (83%). Time to back Hillary? Election2016
181,181,Elated,08/11/2016 16:01:36,About 5% of me wants Trump to win just for the bants Election2016
182,182,Happy,08/11/2016 16:01:36,Hoping for good vibrations! Hillary HillaryClinton USADecides vote Election2016 celebstruments 
183,183,Elated,08/11/2016 16:01:36,Election2016  TRUMP for the Win!
184,184,Calm,08/11/2016 16:01:48,It's The Time for The choice. ElectionDay Election2016 Clinton Trump  
185,185,Happy,08/11/2016 16:01:55,This is EPIC!!! Hope America gets it right in this election! :) Go Trump ????
186,186,Happy,08/11/2016 16:01:57,You can have Hillary Clinton and all her elitist communist pals too. Election2016 ElectionDay Freedom Liberty ????
187,187,Elated,08/11/2016 16:02:10,Hillary Clinton's chance of winning Election2016 rises to 71.4%
188,188,Elated,08/11/2016 16:02:18,Clinton had Trump run against her so she could win bc she could not stand a chance w/ any other Republican. Kidding. Maybe. Election2016
189,189,Serene,08/11/2016 16:02:24,"CNN """"breaking""""news for the last 2 hours: Trump is about to vote. electionday Election2016 RockTheVote ClintonVsTrump"
190,190,Stressed,08/11/2016 16:02:37,Donald Trump just hit his polling place
191,191,Serene,08/11/2016 16:02:56,"All I could think of when I voted for Hillary today was: """"third time's a charm!"""" ImWithHer since2008 Election2016"
192,192,Stressed,08/11/2016 16:02:56,Iamwithher Debate Election2016 DNCLeak SNOBS Rigged StrongerTogether  Hillary dodged sniper fire in Bosnia! 
193,193,Depressed,08/11/2016 16:03:18,I am happy to state that I did not vote for Trump this Election2016 Dump
194,194,Happy,08/11/2016 16:03:27,I really hope you voted for Hillary
195,195,Elated,08/11/2016 16:03:21,7+ TOP YouTube VideoMarketing Stats  Hillary Clinton's chance of winning Election2016 ri? 
196,196,Elated,08/11/2016 16:03:32,Hoping a win for Hillary Clinton on today's election election2016
197,197,Happy,08/11/2016 16:03:34,ObamacareFail-The reason Never Trumpers needed to turn to DJT en masse. Gonna be a blow out. Trump changes the world. Election2016 MAGA????
198,198,Bored,08/11/2016 16:04:05,RT brookewylie: Waiting for Trump and chatting to voters with steph_march for abcnews Election2016 DreamTeam el? 
199,199,Happy,08/11/2016 16:03:58,Two Reason to Expedite Travel to Mars (Or Stop the World I Want to ... -  - Trump diypotus election2016
200,200,Happy,08/11/2016 16:04:09,Interesting that Trump laughed at disabled ppl at his rallies but was quite happy to use disabled entrance to vote Election2016
201,201,Calm,08/11/2016 16:04:22,Tweet at us: How do you think the stock market would react if Trump won?   election2016 
202,202,Elated,08/11/2016 16:04:37,I made up a cool joke for Election2016: Knock knock. Who's there? Votefor Votefor who? Hillary DUH
203,203,Elated,08/11/2016 16:04:28,Mason ; Martin - Trump Wins (Episode 14) vote vote2016 ElectionDay elections election election2016? 
204,204,Happy,08/11/2016 16:04:42,Even good Canadians should practice Trump preparedness ??????????????? election2016 
205,205,Depressed,08/11/2016 16:04:55,Kick TRUMP to the CURB! 
206,206,Bored,08/11/2016 16:04:49,People that are seriously voting for trump are bunch of idiots... Election2016
207,207,Depressed,08/11/2016 16:05:09,Dump Trump. Dump Trump Chump. Chump
208,208,Lethargic,08/11/2016 16:05:03,Presidential Election Odds  Donald Trump vs Hillary Clinton *****  ****** electionday? 
209,209,Elated,08/11/2016 16:05:21,Hillary Clinton's chance of winning Election2016 rises to 71.4%
210,210,Happy,08/11/2016 16:05:27,Is Trump really giving those kids money from his pocket? MSNBC CNN Election2016
211,211,Elated,08/11/2016 16:05:34,Who's going to be First Lady if Trump wins. Melania  (with subtitles)??or the ubiquitous Ivanka (who daddy can not live without)  Election2016
212,212,Calm,08/11/2016 16:06:11,Tweet at us: How do you think the stock market would react if Trump won?   election2016  ?
213,213,Elated,08/11/2016 16:06:23,Hillary Clinton's chance of winning Election2016 rises to 71.4%
214,214,Happy,08/11/2016 16:06:27,Donald Trump w/Russian Dr. Mikhail Piotrovsky-Putin's BEST FRIEND   Election2016 ElectionDay  @EricBoehlert
215,215,Elated,08/11/2016 16:06:41,Hillary Clinton's chance of winning Election2016 rises to 71.4%
216,216,Tense,08/11/2016 16:06:48,Block locked down for Trump leaving Trump Tower ElectionDay election2016 NYC 
217,217,Sad,08/11/2016 16:06:54,Vote 4 ; not the devil  aham I mean Hillary Clinton because her policies r against our church? 
218,218,Contented,08/11/2016 16:06:53,ElectionDay Hillary will get 2 kinds of votes one 4 herself ; 1 against Trump - is not ?  Election2016
219,219,Happy,08/11/2016 16:06:57,Friends do not let friends vote Trump election2016 Clinton ImwithHer 
220,220,Upset,08/11/2016 16:07:25,Another media lie! Lots are voting Trump JillNotHill GaryJohnson or writing in Bernie! No way it's only 12% who? 
221,221,Happy,08/11/2016 16:07:31,I hope the Americans stand up for their national like Britain did with brexit Trump Election2016
222,222,Relaxed,08/11/2016 16:07:33,Photographs of naked Trump getting a spray tan in the White House  Election2016
223,223,Elated,08/11/2016 16:07:41,Election2016 and if will win HILLARY TRUMP or DONALD CLINTON !!!!! ?????????????????? @HILLARYCLINTON
224,224,Serene,08/11/2016 16:07:46,USA ???? is in labour now. soon we shall know if it's a BOY or GIRL????? ElectionDay Election2016 USADecides trump clinton ClintonVsTrump
225,225,Elated,08/11/2016 16:07:52,business: Hillary Clinton's chance of winning Election2016 rises to 71.4%
226,226,Relaxed,08/11/2016 16:08:01,US election night guide: which are the states to watch and when? ????   Election2016 vote usa Trump Clinton
227,227,Elated,08/11/2016 16:07:55,The Hillary Shimmy Song Election2016 Vote ImWithHer   via @YouTube
228,228,Elated,08/11/2016 16:07:59,Hillary Clinton wins Villa's mock election by just 5 votes. Toomey takes Senate ; Fitzpatrick takes House by sizable margins. Election2016
229,229,Contented,08/11/2016 16:08:25,ElectionDay Hillary will get 2 kinds of votes one 4 herself ; 1 against Trump - is not ?  Election2016 
230,230,Happy,08/11/2016 16:08:12,GET OUT AND VOTE AMERICA!! vote freedom usa america rebublic election2016 trump clinton godhelpus 
231,231,Contented,08/11/2016 16:08:23,National TV Program: Why Americans Wonot Believe the Truth about Russia  Election2016 Wikileaks Trump  Hillary
232,232,Sad,08/11/2016 16:08:17,Who the hell wants idiot trump to ruin America? 
233,233,Calm,08/11/2016 16:08:46,I bet on Cons to get a maj in 2015 - Won I bet on us to leave in June - Won I've bet on Trump this time - ??? Election2016  @ronporium
234,234,Relaxed,08/11/2016 16:08:34,Hillary is pro BCS is this the person we want running our country? Election2016
235,235,Happy,08/11/2016 16:08:31,I Hope Hillary Election2016
236,236,Elated,08/11/2016 16:08:46,Hillary Clinton's chance of winning Election2016 rises to 71.4%
237,237,Elated,08/11/2016 16:08:32,business: Hillary Clinton's chance of winning Election2016 rises to 71.4%
238,238,Elated,08/11/2016 16:08:59,If trump wins idk wth gonna happen 
